Index,X Axis,W(AV)
117,630957.3444801868,-0.43764251241815405-1.206217684971242j
118,707945.7843841305,-0.4298310057971794-1.0490888636158855j
119,794328.2347242732,-0.42027012694228655-0.9070568951334899j
120,891250.9381337361,-0.40873297249492113-0.7786113725744535j
121,999999.9999999894,-0.39500860530318177-0.662509525031957j
122,1122018.4543019515,-0.3789298317750427-0.5577617537605172j
123,1258925.4117941537,-0.36040698087686335-0.46360966220944566j
124,1412537.544622739,-0.3394640108174973-0.37949208357041936j
125,1584893.1924610962,-0.31627042389584104-0.3049961560623321j
126,1778279.4100389034,-0.2911603224669255-0.23979402204003444j
127,1995262.314968858,-0.26462997356970064-0.18357084189501446j
128,2238721.1385683147,-0.23730864518258826-0.13595492833507605j
129,2511886.431509552,-0.20990407397658162-0.09646346875680373j
130,2818382.9312644224,-0.18313164117411668-0.06447545593940997j
131,3162277.6601683437,-0.15764184127580205-0.03923697557395891j
132,3548133.8923357143,-0.13396122210966033-0.019895294341465534j
133,3981071.705534927,-0.11245734923410616-0.005550965767539711j
134,4466835.92150958,-0.09333080962837445+0.0046857479598677015j
135,5011872.336272665,-0.07663019383557197+0.011646021992120557j
136,5623413.251903425,-0.062281837233779766+0.016068270567818847j
137,6309573.444801859,-0.050125413811496+0.01858041823142739j
138,7079457.843841296,-0.03994828043620623+0.01969653606320179j
139,7943282.34724272,-0.03151426845428457+0.019823807118815838j
140,8912509.381337348,-0.02458522395931476+0.01927553314788551j
141,9999999.99999988,-0.018935429300507726+0.018286631304319508j
142,1.12201845430195E7,-0.014360024636497251+0.017029153527407994j
143,1.2589254117941521E7,-0.010678883193401191+0.01562638261208351j
144,1.4125375446227372E7,-0.0077373342432545565+0.01416483800216923j
145,1.5848931924610943E7,-0.005404886140725883+0.012704034442835032j
146,1.778279410038901E7,-0.003572815267069456+0.011284124449295187j
147,1.995262314968855E7,-0.0021512274038650446+0.009931687280367519j
148,2.238721138568312E7,-0.001065994797776085+0.00866396274299721j
149,2.511886431509549E7,-2.558296684987096E-4+0.007491814336475158j
150,2.8183829312644187E7,3.303355996589665E-4+0.00642167685939548j
151,3.1622776601683397E7,7.355471437458202E-4+0.005456720533757809j
152,3.54813389233571E7,9.965356384090632E-4+0.004597455316090436j
153,3.981071705534922E7,0.0011449075086239454+0.0038419988388585895j
154,4.466835921509574E7,0.0012078629871487632+0.003186221398300945j
155,5.0118723362726584E7,0.0012085509990176165+0.002623942987171168j
156,5.6234132519034185E7,0.0011662201508072176+0.0021472854531780212j
157,6.30957344480185E7,0.0010963327466890027+0.001747193225513016j
158,7.079457843841286E7,0.001010769515436047+0.0014140583070756997j
159,7.94328234724271E7,9.181837659187364E-4+0.00113834503567125j
160,8.912509381337336E7,8.244939086604267E-4+9.111143562999352E-4j
161,9.999999999999866E7,7.334563123867653E-4+7.243831624674416E-4j
162,1.1220184543019484E8,6.472443623547509E-4+5.71300197974461E-4j
163,1.2589254117941502E8,5.669683855801979E-4+4.4615862785305784E-4j
164,1.412537544622735E8,4.930931768079427E-4+3.442889477548635E-4j
165,1.584893192461092E8,4.2573522446570275E-4+2.6188451148796997E-4j
166,1.7782794100388983E8,3.6484448288522255E-4+1.9580890341056481E-4j
167,1.995262314968852E8,3.10292502091586E-4+1.4342314596938854E-4j
168,2.238721138568309E8,2.6189788540857326E-4+1.0245479228555053E-4j
169,2.5118864315095454E8,2.1942062534962021E-4+7.091443689256534E-5j
170,2.818382931264415E8,1.8255028597469989E-4+4.705224752068664E-5j
171,3.162277660168335E8,1.509026904868581E-4+2.9340360919218313E-5j
172,3.548133892335705E8,1.2402967250594901E-4+1.646647036160934E-5j
173,3.9810717055349165E8,1.0143937095215467E-4+7.327682855484408E-6j
174,4.466835921509568E8,8.262141043460645E-5+1.0189940980834947E-6j
175,5.011872336272652E8,6.707138338337599E-5-3.1847155786763238E-6j
176,5.623413251903411E8,5.431084508658354E-5-5.851484933772217E-6j
177,6.309573444801842E8,4.390117571630201E-5-7.417189300473739E-6j
178,7.079457843841276E8,3.54513457485073E-5-8.210075318461303E-6j
179,7.943282347242699E8,2.8620594561129717E-5-8.473152879848827E-6j
180,8.912509381337324E8,2.311739029317462E-5-8.383501168113207E-6j
181,1.0E9,1.8695998023115912E-5-8.068205291695955E-6j
