Index,X Axis,V(OUT)
68,2238.7211385683268,3.4329976806544785E-5-1.1076065760497383E-4j
69,2511.886431509565,2.7798988862528192E-5-1.005103378464766E-4j
70,2818.3829312644366,2.243951715436438E-5-9.089260993207082E-5j
71,3162.27766016836,1.8069082342936705E-5-8.196214803612841E-5j
72,3548.1338923357325,1.4523469638482054E-5-7.373864289792767E-5j
73,3981.071705534948,1.1659007780295567E-5-6.621631049986938E-5j
74,4466.835921509603,9.352643164297466E-6-5.9371761746478955E-5j
75,5011.872336272691,7.500683761403584E-6-5.317020268634867E-5j
76,5623.413251903455,6.016847289877651E-6-4.757012785223065E-5j
77,6309.573444801892,4.830040134761078E-6-4.2526749341978976E-5j
78,7079.457843841334,3.882132721147073E-6-3.7994416913074894E-5j
79,7943.282347242763,3.1258821543430495E-6-3.392826223088261E-5j
80,8912.509381337395,2.5230759218798612E-6-3.0285263996646466E-5j
81,9999.99999999993,2.042921859353841E-6-2.7024891798928223E-5j
82,11220.184543019557,1.660680939081025E-6-2.4109450778910905E-5j
83,12589.254117941584,1.3565240937034396E-6-2.1504219101335632E-5j
84,14125.375446227443,1.1145873564298141E-6-1.9177446014815544E-5j
85,15848.93192461102,9.221977367440291E-7-1.7100259522828997E-5j
86,17782.7941003891,7.692432351439738E-7-1.524651855629047E-5j
87,19952.62314968865,6.476628197350208E-7-1.3592634013524676E-5j
88,22387.21138568323,5.510351896348811E-7-1.2117375385546967E-5j
89,25118.864315095612,4.7424823926083386E-7-1.0801674165539995E-5j
90,28183.829312644324,4.132340458104157E-7-9.62843133015718E-6j
91,31622.77660168355,3.6475680615785597E-7-8.582333421370457E-6j
92,35481.33892335727,3.2624340589706195E-7-7.649679845489262E-6j
93,39810.71705534941,2.95648215796897E-7-6.818222713629515E-6j
94,44668.35921509595,2.7134530667892944E-7-6.077019661145036E-6j
95,50118.72336272682,2.5204259022768425E-7-5.416299527311511E-6j
96,56234.13251903444,2.3671346969811248E-7-4.827340408200095E-6j
97,63095.7344480188,2.2454245957297438E-7-4.302359386809349E-6j
98,70794.5784384132,2.1488194033693435E-7-3.834413133439685E-6j
99,79432.82347242747,2.0721778506714648E-7-3.4173085219927728E-6j
100,89125.09381337378,2.0114205161904187E-7-3.04552240453335E-6j
101,99999.99999999913,1.9633130186012063E-7-2.7141297160854946E-6j
102,112201.84543019535,1.9252940262705512E-7-2.4187391225201926E-6j
103,125892.5411794156,1.895338980358903E-7-2.1554354776179927E-6j
104,141253.75446227414,1.8718523006095747E-7-1.9207284130563524E-6j
105,158489.3192461099,1.8535823375675243E-7-1.7115064441883258E-6j
106,177827.94100389065,1.8395545294331935E-7-1.5249960325636608E-6j
107,199526.23149688612,1.8290191609868087E-7-1.358725103147874E-6j
108,223872.11385683186,1.8214108780023733E-7-1.2104905674542429E-6j
