Index,X Axis,ONOISE,INOISE
448,29512.092266663403,7.893112791096373E-12,9.781570113384425E-15
449,30199.5172040197,7.423611553146386E-12,9.633144936651539E-15
450,30902.95432513543,6.982989556688429E-12,9.488279637625139E-15
451,31622.776601683305,6.569421777706085E-12,9.346888836549083E-15
452,32359.36569296232,6.18120090974854E-12,9.208889213330993E-15
453,33113.112148258595,5.816729659222638E-12,9.074199458077843E-15
454,33884.41561391972,5.4745135498476036E-12,8.942740222831435E-15
455,34673.68504525262,5.153154202445648E-12,8.814434074477104E-15
456,35481.33892335699,4.851343058476811E-12,8.689205448804281E-15
457,36307.80547700956,4.5678555178554316E-12,8.566980605690656E-15
458,37153.52290971667,4.3015454635182115E-12,8.447687585374749E-15
459,38018.93963205552,4.0513401470837995E-12,8.331256165803748E-15
460,38904.51449942744,3.816235411595182E-12,8.217617821012287E-15
461,39810.71705534909,3.5952912290030768E-12,8.106705680537255E-15
462,40738.02778041062,3.3876275314923083E-12,7.998454489813156E-15
463,41686.93834703287,3.192420317145077E-12,7.892800571539035E-15
464,42657.95188015858,3.008898011763103E-12,7.789681788004672E-15
465,43651.58322401589,2.8363380698362985E-12,7.689037504328358E-15
466,44668.359215095596,2.6740637988374746E-12,7.590808552605385E-15
467,45708.81896148677,2.5214413920140484E-12,7.494937196945404E-15
468,46773.51412871907,2.377877155887319E-12,7.401367099357336E-15
469,47863.009232263066,2.2428149195451258E-12,7.310043286494811E-15
470,48977.88193684384,2.1157336137116956E-12,7.220912117203052E-15
471,50118.72336272643,1.9961450083447564E-12,7.133921250894745E-15
472,51286.13839913566,1.8835915982865747E-12,7.049019616687525E-15
473,52480.74602497642,1.7776446271720274E-12,6.9661573833231405E-15
474,53703.17963702441,1.677902240463671E-12,6.8852859298298295E-15
475,54954.08738576157,1.583987759070626E-12,6.806357816924849E-15
476,56234.13251903401,1.4955480656089336E-12,6.729326759124049E-15
477,57543.993733714764,1.412252095857259E-12,6.6541475975530575E-15
478,58884.36553555795,1.3337894284668147E-12,6.58077627345261E-15
479,60255.9586074348,1.2598689664634122E-12,6.509169802338449E-15
480,61659.50018614722,1.190217704478792E-12,6.439286248824132E-15
481,63095.734448018295,1.1245795760674077E-12,6.3710847020855606E-15
482,64565.4229034645,1.0627143758526933E-12,6.304525251942108E-15
483,66069.34480075852,1.0043967515635489E-12,6.239568965559645E-15
484,67608.29753919707,9.494152613752732E-13,6.17617786474586E-15
485,69183.09709189252,8.975714922670791E-13,6.114314903837187E-15
486,70794.57843841263,8.48679235387281E-13,6.053943948154972E-15
487,72443.59600749782,8.025637146830624E-13,5.9950297530274004E-15
488,74131.02413009053,7.590608653175258E-13,5.937537943357976E-15
489,75857.75750291713,7.18016658590302E-13,5.881434993736531E-15
490,77624.71166286789,6.792864703366053E-13,5.826688209077643E-15
491,79432.82347242684,6.427344899538274E-13,5.773265705771924E-15
492,81283.05161640859,6.082331673967865E-13,5.7211363933529866E-15
493,83176.37711026572,5.756626956670467E-13,5.67026995665919E-15
494,85113.80382023624,5.44910526478294E-13,5.620636838475137E-15
495,87096.35899560661,5.158709169311534E-13,5.572208222668021E-15
496,89125.09381337305,4.884445051866587E-13,5.5249560177779876E-15
497,91201.08393558944,4.625379132357909E-13,5.478852841084862E-15
498,93325.43007969753,4.3806337501807083E-13,5.433872003118758E-15
499,95499.25860214197,4.1493838823447643E-13,5.389987492618338E-15
500,97723.7220955794,3.930853883117842E-13,5.347173961935706E-15
501,99999.9999999983,3.7243144309394357E-13,5.305406712857731E-15
502,102329.29922807367,3.529079669075698E-13,5.2646616828708545E-15
503,104712.85480508815,3.344504527486953E-13,5.224915431828602E-15
504,107151.9305237588,3.1699822142380276E-13,5.1861451290424224E-15
505,109647.81961431661,3.0049418654414576E-13,5.148328540768238E-15
506,112201.84543019441,2.848846343538417E-13,5.111444018109151E-15
507,114815.36214968629,2.7011901743449066E-13,5.075470485299626E-15
508,117489.75549395091,2.561497613906328E-13,5.040387428390344E-15
509,120226.4434617392,2.429320836850165E-13,5.006174884320922E-15
510,123026.877081236,2.304238238386466E-13,4.9728134303650626E-15
511,125892.54117941452,2.1858528427035323E-13,4.940284173969194E-15
512,128824.95516931114,2.0737908109016673E-13,4.908568742957615E-15
513,131825.6738556384,1.9677000421003736E-13,4.877649276114672E-15
514,134896.288259163,1.867248861791365E-13,4.847508414136894E-15
515,138038.42646028605,1.7721247918183206E-13,4.818129290949162E-15
516,141253.75446227295,1.682033396787721E-13,4.789495525398909E-15
517,144543.9770745902,1.5966972020845198E-13,4.761591213293992E-15
518,147910.8388168181,1.5158546788626463E-13,4.734400919829896E-15
519,151356.12484361813,1.4392592918134132E-13,4.70790967235504E-15
520,154881.66189124537,1.3666786056963143E-13,4.682102953518451E-15
521,158489.31924610853,1.297893446931118E-13,4.656966694760209E-15
522,162181.0097358901,1.2326971167352025E-13,4.632487270183279E-15
523,165958.69074375313,1.1708946525781635E-13,4.608651490774249E-15
524,169824.36524617142,1.1123021348850809E-13,4.585446598992791E-15
525,173780.08287493445,1.0567460361494221E-13,4.562860263732398E-15
526,177827.94100388914,1.004062609779174E-13,4.540880575632736E-15
527,181970.0858609951,9.540973161735574E-14,4.519496042788424E-15
528,186208.71366628344,9.067042837150557E-14,4.4986955868007165E-15
529,190546.0717963213,8.617458024684817E-14,4.478468539229624E-15
530,194984.45997580103,8.190918485488094E-14,4.458804638412684E-15
531,199526.23149688437,7.78619637250168E-14,4.439694026668235E-15
532,204173.79446694927,7.40213203127428E-14,4.421127247900042E-15
533,208929.61308540017,7.037630053668507E-14,4.403095245582634E-15
534,213796.20895021936,6.691655568729059E-14,4.385589361152149E-15
535,218776.1623949513,6.36323075584235E-14,4.3686013327964715E-15
536,223872.1138568299,6.051431566623427E-14,4.352123294679594E-15
537,229086.76527677313,5.755384642539377E-14,4.336147776562382E-15
538,234422.88153198795,5.474264416179988E-14,4.320667703860167E-15
539,239883.29190194467,5.207290384843999E-14,4.305676398145208E-15
540,245470.89156849857,4.953724545899481E-14,4.291167578086369E-15
541,251188.64315095343,4.7128689839807555E-14,4.277135360847374E-15
542,257039.5782768817,4.484063600654814E-14,4.263574263952769E-15
543,263026.7991895334,4.2666839779207814E-14,4.250479207631344E-15
544,269153.4803926867,4.060139367337953E-14,4.237845517645538E-15
545,275422.8703338116,3.863870797117441E-14,4.225668928630943E-15
546,281838.2931264402,3.6773492900391215E-14,4.213945587935765E-15
547,288403.1503126553,3.500074185425453E-14,4.2026720600088594E-15
548,295120.92266663315,3.3315715589138905E-14,4.191845331310755E-15
549,301995.1720401961,3.1713927340736684E-14,4.181462815799984E-15
550,309029.5432513534,3.0191128803711206E-14,4.171522360981802E-15
551,316227.76601683215,2.8743296922334705E-14,4.162022254557275E-15
552,323593.6569296223,2.7366621443805115E-14,4.152961231675367E-15
553,331131.1214825849,2.6057493188462346E-14,4.144338482815602E-15
554,338844.15613919625,2.481249299366841E-14,4.1361536623187266E-15
555,346736.8504525252,2.3628381291594034E-14,4.128406897584041E-15
556,354813.3892335688,2.250208828287496E-14,4.121098798951208E-15
557,363078.0547700945,2.143070467068666E-14,4.114230470298654E-15
558,371535.2290971655,2.0411472922229187E-14,4.107803520371372E-15
559,380189.39632055396,1.9441779026087048E-14,4.1018200748647396E-15
560,389045.1449942732,1.851914471650449E-14,4.096282789290304E-15
561,398107.1705534897,1.7641220136859885E-14,4.091194862651144E-15
562,407380.27780410496,1.680577691640749E-14,4.086560051946421E-15
563,416869.3834703275,1.601070163649708E-14,4.082382687535707E-15
564,426579.51880158455,1.52539896628704E-14,4.078667689396934E-15
565,436515.8322401577,1.4533739323134448E-14,4.0754205842957036E-15
566,446683.59215095465,1.3848146409131101E-14,4.0726475239048765E-15
567,457088.18961486634,1.3195498985236314E-14,4.070355303900177E-15
568,467735.14128718927,1.2574172484969707E-14,4.068551384066771E-15
569,478630.0923226292,1.1982625079148823E-14,4.067243909446893E-15
570,489778.8193684368,1.1419393300094344E-14,4.066441732557436E-15
571,501187.2336272627,1.0883087906776577E-14,4.066154436722699E-15
572,512861.383991355,1.0372389977511237E-14,4.066392360542426E-15
573,524807.4602497625,9.886047216790023E-15,4.067166623535714E-15
574,537031.7963702424,9.422870464258104E-15,4.068489153003819E-15
575,549540.873857614,8.98173039408113E-15,4.07037271212895E-15
576,562341.3251903382,8.561554394176207E-15,4.072830929360771E-15
577,575439.9373371458,8.161323614732839E-15,4.075878329125467E-15
578,588843.6553555776,7.780070176733573E-15,4.0795303638723645E-15
579,602559.5860743461,7.416874531284008E-15,4.083803447524232E-15
580,616595.0018614702,7.0708629612952064E-15,4.088714990344529E-15
581,630957.344480181,6.741205217537224E-15,4.09428343525289E-15
582,645654.2290346429,6.427112281475376E-15,4.100528295647914E-15
583,660693.448007583,6.127834247892955E-15,4.107470194730635E-15
584,676082.9753919684,5.842658320436779E-15,4.115130906399552E-15
585,691830.9709189229,5.5709069140678624E-15,4.123533397705699E-15
586,707945.7843841239,5.311935858206205E-15,4.132701872929954E-15
587,724435.9600749756,5.065132695205486E-15,4.142661819280988E-15
588,741310.2413009027,4.829915068720298E-15,4.153440054240442E-15
589,758577.5750291685,4.605729197175686E-15,4.1650647745821355E-15
590,776247.1166286761,4.392048427530879E-15,4.177565607058474E-15
591,794328.2347242654,4.188371864974621E-15,4.1909736607796E-15
592,812830.5161640828,3.994223074444076E-15,4.2053215812758515E-15
593,831763.7711026542,3.809148849947622E-15,4.220643606241514E-15
594,851138.0382023591,3.632718048127562E-15,4.236975622948414E-15
595,870963.5899560628,3.464520482441306E-15,4.2543552273117514E-15
596,891250.9381337273,3.3041658747935237E-15,4.272821784567262E-15
597,912010.8393558911,3.1512828614146722E-15,4.29241649153934E-15
598,933254.3007969719,3.005518050147769E-15,4.3131824404306904E-15
599,954992.5860214165,2.8665351263139803E-15,4.335164684085422E-15
600,977237.2209557907,2.734014004582956E-15,4.3584103026361165E-15
601,999999.9999999796,2.6076500243836934E-15,4.3829684714390895E-15
602,1023292.9922807332,2.4871531865099445E-15,4.408890530210931E-15
603,1047128.5480508781,2.3722474287713763E-15,4.436230053201215E-15
604,1071519.3052375845,2.2626699385451186E-15,4.465042920287333E-15
605,1096478.1961431624,2.1581705003555314E-15,4.495387388784502E-15
606,1122018.4543019403,2.0585108765687476E-15,4.527324165804482E-15
607,1148153.6214968592,1.9634642194650634E-15,4.5609164809150556E-15
