# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN) W(GDSN)
1.40000000000e-01 3.15920461897e+01 2.57429422751e-10 2.40743085039e-04 2.12330721049e-10 2.09332628113e-10 3.94566688048e-10 3.06731873051e+00 3.75331019315e-02 8.62708682587e-11
1.50000000000e-01 3.14968757550e+01 3.52902877871e-10 2.70857739875e-04 2.12363481757e-10 2.09409286730e-10 3.94387105444e-10 3.07222056525e+00 3.75421593249e-02 1.18077649884e-10
1.60000000000e-01 3.13862757149e+01 4.83289169308e-10 3.10562588472e-04 2.12393990143e-10 2.09487611861e-10 3.94202380039e-10 3.07808578410e+00 3.75545220501e-02 1.61395431060e-10
1.70000000000e-01 3.12580657795e+01 6.61061465791e-10 3.62133818905e-04 2.12422377820e-10 2.09567580597e-10 3.94015613450e-10 3.08507045538e+00 3.75713652098e-02 2.20263049825e-10
1.80000000000e-01 3.11098216452e+01 9.02979065462e-10 4.28092562770e-04 2.12448774660e-10 2.09649158300e-10 3.93830629155e-10 3.09336034201e+00 3.75942627820e-02 3.00062733398e-10
1.90000000000e-01 3.09389241340e+01 1.23146422700e-09 5.11095797449e-04 2.12473307510e-10 2.09732297220e-10 3.93651886433e-10 3.10317255440e+00 3.76253116305e-02 4.07925418396e-10
2.00000000000e-01 3.07426293836e+01 1.67636960753e-09 6.13767484113e-04 2.12496099178e-10 2.09816935108e-10 3.93484301685e-10 3.11475748429e+00 3.76672873086e-02 5.53236000709e-10
2.10000000000e-01 3.05181678883e+01 2.27722112672e-09 7.38481182191e-04 2.12517267669e-10 2.09902993855e-10 3.93332987939e-10 3.12840060347e+00 3.77238358194e-02 7.48251741028e-10
2.20000000000e-01 3.02628748969e+01 3.08602774196e-09 8.87125061655e-04 2.12536925641e-10 2.09990378222e-10 3.93202952952e-10 3.14442402257e+00 3.77997035556e-02 1.00884306537e-09
2.30000000000e-01 2.99743508113e+01 4.17075172453e-09 1.06089478553e-03 2.12555180041e-10 2.10078974704e-10 3.93098819490e-10 3.16318768848e+00 3.79010038644e-02 1.35535876643e-09
2.40000000000e-01 2.96506421874e+01 5.61952898354e-09 1.26015896052e-03 2.12572131903e-10 2.10168650618e-10 3.93024632502e-10 3.18509026592e+00 3.80355124593e-02 1.81360649904e-09
2.50000000000e-01 2.92904227909e+01 7.54571755013e-09 1.48442241100e-03 2.12587876273e-10 2.10259253458e-10 3.92983790939e-10 3.21057000761e+00 3.82129747549e-02 2.41592413917e-09
2.60000000000e-01 2.88931428618e+01 1.00938323373e-08 1.73238291027e-03 2.12602502240e-10 2.10350610638e-10 3.92979099000e-10 3.24010607688e+00 3.84453962156e-02 3.20229804855e-09
2.70000000000e-01 2.84591051108e+01 1.34463943770e-08 2.00205269572e-03 2.12616093042e-10 2.10442529665e-10 3.93012895320e-10 3.27422094003e+00 3.87472730484e-02 4.22146075156e-09
2.80000000000e-01 2.79894259493e+01 1.78316786173e-08 2.29090809447e-03 2.12628726244e-10 2.10534798849e-10 3.93087206427e-10 3.31348422626e+00 3.91357076640e-02 5.53187315748e-09
2.90000000000e-01 2.74858566750e+01 2.35322766846e-08 2.59603829299e-03 2.12640473954e-10 2.10627188590e-10 3.93203882344e-10 3.35851769766e+00 3.96303457080e-02 7.20246568141e-09
3.00000000000e-01 2.69504766747e+01 3.08942840063e-08 2.91427872344e-03 2.12651403072e-10 2.10719453308e-10 3.93364694893e-10 3.40999949909e+00 4.02530749151e-02 9.31298089792e-09
