# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN) W(GDSN)
1.30000000000e-01 3.09923437129e+01 3.25751219539e-12 1.64704867589e-04 2.00457857348e-10 1.99984456317e-10 4.82302196898e-10 6.25767814737e+00 3.38088967779e-02 5.35103412754e-13
1.40000000000e-01 3.11052824441e+01 4.43816846252e-12 1.68470638161e-04 2.00463333971e-10 1.99996140401e-10 4.82277334603e-10 6.23281154900e+00 3.38090501902e-02 7.31955502037e-13
1.50000000000e-01 3.11719046813e+01 6.05388555440e-12 1.72545980265e-04 2.00468439081e-10 2.00008086128e-10 4.82248877053e-10 6.21717816019e+00 3.38092599305e-02 1.00093479476e-12
1.60000000000e-01 3.12052516300e+01 8.26364461973e-12 1.77004272366e-04 2.00473193212e-10 2.00020291546e-10 4.82216419207e-10 6.20802341930e+00 3.38095465819e-02 1.36830583225e-12
1.70000000000e-01 3.12142524728e+01 1.12840978116e-11 1.81944254533e-04 2.00477616873e-10 2.00032753086e-10 4.82179534428e-10 6.20348688031e+00 3.38099381920e-02 1.86980306203e-12
1.80000000000e-01 3.12047955805e+01 1.54102631584e-11 1.87497241997e-04 2.00481730302e-10 2.00045465349e-10 4.82137780223e-10 6.20234216098e+00 3.38104729475e-02 2.55399020216e-12
1.90000000000e-01 3.11806256381e+01 2.10434584809e-11 1.93836068934e-04 2.00485553265e-10 2.00058420892e-10 4.82090706715e-10 6.20379730427e+00 3.38112027861e-02 3.48677890951e-12
2.00000000000e-01 3.11439409741e+01 2.87289793224e-11 2.01186035562e-04 2.00489104900e-10 2.00071610014e-10 4.82037868472e-10 6.20736673531e+00 3.38121982654e-02 4.75748781812e-12
2.10000000000e-01 3.10958156010e+01 3.92067661904e-11 2.09838097401e-04 2.00492403596e-10 2.00085020542e-10 4.81978840431e-10 6.21278352614e+00 3.38135551047e-02 6.48693720495e-12
2.20000000000e-01 3.10364957903e+01 5.34793205669e-11 2.20164446993e-04 2.00495466909e-10 2.00098637631e-10 4.81913238597e-10 6.21993914025e+00 3.38154029472e-02 8.83821655551e-12
2.30000000000e-01 3.09655948130e+01 7.29024292906e-11 2.32636468520e-04 2.00498311504e-10 2.00112443590e-10 4.81840746188e-10 6.22884473862e+00 3.38179170487e-02 1.20309351923e-11
2.40000000000e-01 3.08822310833e+01 9.93058207437e-11 2.47844761437e-04 2.00500953126e-10 2.00126417740e-10 4.81761145628e-10 6.23960462458e+00 3.38213337969e-02 1.63599708896e-11
2.50000000000e-01 3.07851194580e+01 1.35152855911e-10 2.66520496797e-04 2.00503406587e-10 2.00140536310e-10 4.81674356484e-10 6.25239987593e+00 3.38259712016e-02 2.22199651845e-11
2.60000000000e-01 3.06726368415e+01 1.83750669648e-10 2.89556764074e-04 2.00505685770e-10 2.00154772399e-10 4.81580478801e-10 6.26747814726e+00 3.38322557679e-02 3.01370677768e-11
2.70000000000e-01 3.05428754891e+01 2.49524869079e-10 3.18027789374e-04 2.00507803645e-10 2.00169096001e-10 4.81479840536e-10 6.28514728601e+00 3.38407574645e-02 4.08096875524e-11
2.80000000000e-01 3.03936955012e+01 3.38375871564e-10 3.53203014109e-04 2.00509772301e-10 2.00183474120e-10 4.81373046687e-10 6.30577084604e+00 3.38522347949e-02 5.51602334901e-11
2.90000000000e-01 3.02227812322e+01 4.58137149129e-10 3.96552157405e-04 2.00511602975e-10 2.00197870965e-10 4.81261026670e-10 6.32976499733e+00 3.38676922396e-02 7.43999793980e-11
3.00000000000e-01 3.00277135389e+01 6.19158664400e-10 4.49736792087e-04 2.00513306093e-10 2.00212248252e-10 4.81145075450e-10 6.35759483231e+00 3.38884524793e-02 1.00109202225e-10
3.10000000000e-01 2.98060646196e+01 8.35041405654e-10 5.14583979824e-04 2.00514891311e-10 2.00226565609e-10 4.81026883437e-10 6.38976899126e+00 3.39162457326e-02 1.34334556506e-10
3.20000000000e-01 2.95555184279e+01 1.12355075006e-09 5.93038484478e-04 2.00516367562e-10 2.00240781075e-10 4.80908550461e-10 6.42683207599e+00 3.39533180971e-02 1.79705195867e-10
3.30000000000e-01 2.92740216436e+01 1.50773679997e-09 6.87092220670e-04 2.00517743098e-10 2.00254851692e-10 4.80792580535e-10 6.46935347321e+00 3.40025597979e-02 2.39568408007e-10
