# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
1.80000000000e-01 3.24007396012e+01 1.38466927297e-10 2.21017862117e-04 2.22889171516e-10 2.15328079603e-10 3.36865586476e-10 4.75699176684e+00 -3.23042559383e-02 2.99364410501e-11
1.90000000000e-01 3.23060361130e+01 1.91367993347e-10 2.37726985898e-04 2.22955428895e-10 2.15552617639e-10 3.36883949269e-10 4.75665658887e+00 -3.23177402396e-02 4.13765254205e-11
2.00000000000e-01 3.21798901776e+01 2.64180708553e-10 2.59932130038e-04 2.23016983770e-10 2.15781203947e-10 3.36905073537e-10 4.75724732288e+00 -3.23362833231e-02 5.71125937174e-11
2.10000000000e-01 3.20354986144e+01 3.64205728980e-10 2.90420611660e-04 2.23074154850e-10 2.16013627547e-10 3.36929597383e-10 4.75880239803e+00 -3.23617253798e-02 7.87110334679e-11
2.20000000000e-01 3.18717851446e+01 5.01330941427e-10 3.31728108608e-04 2.23127246396e-10 2.16249631184e-10 3.36958328175e-10 4.76145697402e+00 -3.23965459846e-02 1.08285712549e-10
2.30000000000e-01 3.16875514039e+01 6.88886386183e-10 3.86923410150e-04 2.23176547253e-10 2.16488908269e-10 3.36992277810e-10 4.76545010164e+00 -3.24440644214e-02 1.48672344203e-10
2.40000000000e-01 3.14816360980e+01 9.44765916130e-10 4.59578813786e-04 2.23222330293e-10 2.16731100389e-10 3.37032702169e-10 4.77113902701e+00 -3.25086936821e-02 2.03651990278e-10
2.50000000000e-01 3.12530757019e+01 1.29287901543e-09 5.53634024312e-04 2.23264852218e-10 2.16975795597e-10 3.37081137987e-10 4.77902059246e+00 -3.25962535175e-02 2.78230988107e-10
2.60000000000e-01 3.10012600760e+01 1.76501620980e-09 6.73116102498e-04 2.23304353637e-10 2.17222527684e-10 3.37139429823e-10 4.78975840721e+00 -3.27143458004e-02 3.78984635354e-10
2.70000000000e-01 3.07260597361e+01 2.40322875767e-09 8.21709840582e-04 2.23341059367e-10 2.17470776667e-10 3.37209738128e-10 4.80421395811e+00 -3.28727886672e-02 5.14469087764e-10
2.80000000000e-01 3.04278841252e+01 3.26284317953e-09 1.00223493387e-03 2.23375178897e-10 2.17719970691e-10 3.37294520515e-10 4.82347826878e+00 -3.30840946107e-02 6.95700616497e-10
2.90000000000e-01 3.01076119504e+01 4.41625244484e-09 1.21615565871e-03 2.23406906980e-10 2.17969489514e-10 3.37396483650e-10 4.84889850109e+00 -3.33639609052e-02 9.36693078068e-10
3.00000000000e-01 2.97663238527e+01 5.95764333081e-09 1.46327620505e-03 2.23436424307e-10 2.18218669716e-10 3.37518511718e-10 4.88209100943e+00 -3.37317183740e-02 1.25503299007e-09
3.10000000000e-01 2.94047785414e+01 8.00882067050e-09 1.74172138137e-03 2.23463898244e-10 2.18466811665e-10 3.37663585452e-10 4.92492911762e+00 -3.42106582520e-02 1.67245753092e-09
3.20000000000e-01 2.90226218258e+01 1.07262480558e-08 2.04818837449e-03 2.23489483589e-10 2.18713188222e-10 3.37834708375e-10 4.97949148942e+00 -3.48281314268e-02 2.21538573666e-09
3.30000000000e-01 2.86174189922e+01 1.43092978553e-08 2.37835599592e-03 2.23513323350e-10 2.18957055036e-10 3.38034852651e-10 5.04795659140e+00 -3.56152980359e-02 2.91534009542e-09
