# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
5.00000000000e-01 8.07854085543e+00 3.27259568239e-06 8.67235807399e-03 2.56207692697e-10 2.52546260221e-10 3.36262643560e-10 4.61445380013e+00 -2.20096126063e-01 7.29387916646e-07
5.10000000000e-01 7.72997055836e+00 3.54130124460e-06 8.71079336242e-03 2.56224805747e-10 2.52812980479e-10 3.40499826102e-10 4.60863790129e+00 -2.28806909522e-01 7.90272370438e-07
5.20000000000e-01 7.40721620434e+00 3.81923959549e-06 8.74692806851e-03 2.56240952158e-10 2.53062589658e-10 3.45104870661e-10 4.58606306436e+00 -2.37535294999e-01 8.56492166148e-07
5.30000000000e-01 7.10779671362e+00 4.10620959227e-06 8.78095243153e-03 2.56256196352e-10 2.53295829578e-10 3.50110850542e-10 4.54613953399e+00 -2.46280432674e-01 9.28934013862e-07
5.40000000000e-01 6.82942499440e+00 4.40201789296e-06 8.81303178290e-03 2.56270597909e-10 2.53513482393e-10 3.55553848199e-10 4.48842132104e+00 -2.55042090724e-01 1.00865977172e-06
5.50000000000e-01 6.57000346835e+00 4.70647500640e-06 8.84330934712e-03 2.56284211969e-10 2.53716354900e-10 3.61473192482e-10 4.41267086295e+00 -2.63820502220e-01 1.09693459931e-06
5.60000000000e-01 6.32761510104e+00 5.01939111678e-06 8.87190867709e-03 2.56297089587e-10 2.53905264748e-10 3.67911703614e-10 4.31893101156e+00 -2.72616241273e-01 1.19525696824e-06
5.70000000000e-01 6.10051193510e+00 5.34057176722e-06 8.89893576228e-03 2.56309278067e-10 2.54081028628e-10 3.74915942891e-10 4.20759856507e+00 -2.81430124114e-01 1.30538906585e-06
5.80000000000e-01 5.88710265144e+00 5.66981347126e-06 8.92448084618e-03 2.56320821261e-10 2.54244452418e-10 3.82536463063e-10 4.07949104459e+00 -2.90263131094e-01 1.42938526502e-06
5.90000000000e-01 5.68594032107e+00 6.00689932279e-06 8.94861998783e-03 2.56331759850e-10 2.54396323185e-10 3.90828054120e-10 3.93589631314e+00 -2.99116346012e-01 1.56961527930e-06
6.00000000000e-01 5.49571122611e+00 6.35159469287e-06 8.97141639947e-03 2.56342131591e-10 2.54537402896e-10 3.99849977759e-10 3.77859372625e+00 -3.07990909626e-01 1.72877745966e-06
6.10000000000e-01 5.31522538792e+00 6.70364313545e-06 8.99292159058e-03 2.56351971553e-10 2.54668423676e-10 4.09666182181e-10 3.60983661310e+00 -3.16887984653e-01 1.90989659639e-06
6.20000000000e-01 5.14340920869e+00 7.06276266744e-06 9.01317634635e-03 2.56361312326e-10 2.54790084415e-10 4.20345486945e-10 3.43228957786e+00 -3.25808729961e-01 2.11629986676e-06
