# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN) W(GDSN)
2.20000000000e-01 2.56739545474e+01 8.77183124198e-08 4.55513267272e-03 2.31458998596e-10 2.25591954578e-10 3.62021560794e-10 4.00819367969e+00 4.24594200043e-02 2.24960600020e-08
2.30000000000e-01 2.52049151771e+01 1.13128272409e-07 4.96005957577e-03 2.31501053364e-10 2.25796093885e-10 3.62550979487e-10 4.13608819979e+00 4.43143789821e-02 2.81155288197e-08
2.40000000000e-01 2.47030577976e+01 1.45192669342e-07 5.35190603653e-03 2.31540106764e-10 2.26002724828e-10 3.63132972539e-10 4.28331747655e+00 4.64943765268e-02 3.48441052805e-08
2.50000000000e-01 2.41594365141e+01 1.85373625355e-07 5.72710532179e-03 2.31576377741e-10 2.26211497017e-10 3.63769304396e-10 4.45072727906e+00 4.90233093291e-02 4.28136104098e-08
2.60000000000e-01 2.35672518527e+01 2.35333227385e-07 6.08301839294e-03 2.31610071518e-10 2.26422013868e-10 3.64462052694e-10 4.63867809455e+00 5.19195798061e-02 5.21499514265e-08
2.70000000000e-01 2.29230787158e+01 2.96913813657e-07 6.41788183398e-03 2.31641379850e-10 2.26633832971e-10 3.65213648501e-10 4.84699357823e+00 5.51951460305e-02 6.29684280464e-08
2.80000000000e-01 2.22274943188e+01 3.72102801862e-07 6.73071832607e-03 2.31670481434e-10 2.26846467652e-10 3.66026906910e-10 5.07494390494e+00 5.88549917989e-02 7.53696653066e-08
2.90000000000e-01 2.14850295730e+01 4.62983689694e-07 7.02122369224e-03 2.31697542408e-10 2.27059389864e-10 3.66905050027e-10 5.32126290451e+00 6.28970601065e-02 8.94367209222e-08
3.00000000000e-01 2.07035416717e+01 5.71677090805e-07 7.28964363001e-03 2.31722716933e-10 2.27272034535e-10 3.67851724899e-10 5.58419379281e+00 6.73126357110e-02 1.05233787130e-07
3.10000000000e-01 1.98932179590e+01 7.00277310345e-07 7.53665099109e-03 2.31746147818e-10 2.27483805421e-10 3.68871018922e-10 5.86155596990e+00 7.20871111096e-02 1.22806691547e-07
3.20000000000e-01 1.90654508247e+01 8.50790629970e-07 7.76323155631e-03 2.31767967169e-10 2.27694082437e-10 3.69967475052e-10 6.15082474079e+00 7.72010335867e-02 1.42185149310e-07
3.30000000000e-01 1.82317858345e+01 1.02508104774e-06 7.97058331031e-03 2.31788297049e-10 2.27902230375e-10 3.71146108674e-10 6.44921645885e+00 8.26313133620e-02 1.63386490066e-07
3.40000000000e-01 1.74030734666e+01 1.22482787361e-06 8.16003165803e-03 2.31807250131e-10 2.28107608790e-10 3.72412427581e-10 6.75377289582e+00 8.83524741563e-02 1.86420428117e-07
3.50000000000e-01 1.65888798814e+01 1.45149768915e-06 8.33296104551e-03 2.31824930334e-10 2.28309582767e-10 3.73772456033e-10 7.06144012112e+00 9.43378439520e-02 2.11294387222e-07
3.60000000000e-01 1.57971534083e+01 1.70633118183e-06 8.49076208603e-03 2.31841433448e-10 2.28507534183e-10 3.75232763590e-10 7.36913855002e+00 1.00560609591e-01 2.38018929729e-07
