# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
1.20000000000e-01 1.31879273719e+01 2.62249360779e-13 1.25645989711e-04 2.16987934584e-10 2.00929373298e-10 4.14308765711e-10 2.04181463138e+01 -3.57991708747e-02 1.32094471049e-14
1.30000000000e-01 1.57400108976e+01 3.01126345898e-13 1.27517737961e-04 2.17184692322e-10 2.01312331148e-10 4.14308694636e-10 1.71059174925e+01 -3.57991853888e-02 1.81045983564e-14
1.40000000000e-01 1.82881851487e+01 3.55142177342e-13 1.29641701520e-04 2.17368314520e-10 2.01704079335e-10 4.14308591619e-10 1.47208298347e+01 -3.57992052788e-02 2.48116972850e-14
1.50000000000e-01 2.07020701532e+01 4.29860009174e-13 1.32049433893e-04 2.17539480508e-10 2.02104599995e-10 4.14308444253e-10 1.30026657155e+01 -3.57992325324e-02 3.40001755667e-14
1.60000000000e-01 2.28772044456e+01 5.32900409307e-13 1.34775225980e-04 2.17698878729e-10 2.02513827688e-10 4.14308236404e-10 1.17645922037e+01 -3.57992698713e-02 4.65860286505e-14
1.70000000000e-01 2.47504504203e+01 6.74689932681e-13 1.37856364891e-04 2.17847196826e-10 2.02931642703e-10 4.14307947419e-10 1.08722431687e+01 -3.57993210198e-02 6.38221728895e-14
1.80000000000e-01 2.63011945117e+01 8.69497964853e-13 1.41333540760e-04 2.17985113351e-10 2.03357864040e-10 4.14307551253e-10 1.02290693733e+01 -3.57993910730e-02 8.74216419801e-14
1.90000000000e-01 2.75427351270e+01 1.13683739075e-12 1.45251466238e-04 2.18113291046e-10 2.03792242183e-10 4.14307015556e-10 9.76559220994e+00 -3.57994869984e-02 1.19725394706e-13
2.00000000000e-01 2.85004609270e+01 1.50334648902e-12 1.48768467913e-04 2.18232371556e-10 2.04234451839e-10 4.14306300782e-10 9.43182834460e+00 -3.57996183081e-02 1.63926706309e-13
2.10000000000e-01 2.92163945519e+01 2.00515670156e-12 1.51928393512e-04 2.18342971437e-10 2.04684084847e-10 4.14305359683e-10 9.19189631446e+00 -3.57997979015e-02 2.24351880811e-13
2.20000000000e-01 2.97436567684e+01 2.69158900414e-12 1.55712300779e-04 2.18445679299e-10 2.05140643516e-10 4.14304135982e-10 9.01981682615e+00 -3.58000433878e-02 3.06900461049e-13
2.30000000000e-01 3.01220718149e+01 3.62982900161e-12 1.60190860405e-04 2.18541053924e-10 2.05603534711e-10 4.14302563674e-10 8.89692857447e+00 -3.58003787498e-02 4.19597194414e-13
2.40000000000e-01 3.03850103938e+01 4.91123749277e-12 1.65447075877e-04 2.18629623198e-10 2.06072065034e-10 4.14300566418e-10 8.80980949902e+00 -3.58008366000e-02 5.73338270227e-13
2.50000000000e-01 3.05590335492e+01 6.65991605376e-12 1.71579514061e-04 2.18711883727e-10 2.06545437510e-10 4.14298057046e-10 8.74883619081e+00 -3.58014612319e-02 7.82897639116e-13
2.60000000000e-01 3.06645832033e+01 9.04420530807e-12 1.78706163773e-04 2.18788300984e-10 2.07022750180e-10 4.14294937275e-10 8.70711091599e+00 -3.58023127222e-02 1.06827446892e-12
2.70000000000e-01 3.07169082667e+01 1.22921225047e-11 1.86968971646e-04 2.18859309889e-10 2.07502997037e-10 4.14291097716e-10 8.67971703079e+00 -3.58034724282e-02 1.45649107052e-12
2.80000000000e-01 3.07271182570e+01 1.67119716903e-11 1.96539111315e-04 2.18925315715e-10 2.07985071705e-10 4.14286418266e-10 8.66316178123e+00 -3.58050503301e-02 1.98398223913e-12
2.90000000000e-01 3.07030579726e+01 2.27198119280e-11 2.07623049519e-04 2.18986695226e-10 2.08467774178e-10 4.14280769009e-10 8.65499361717e+00 -3.58071947998e-02 2.69975586632e-12
3.00000000000e-01 3.06500716007e+01 3.08758677104e-11 2.20469476493e-04 2.19043797989e-10 2.08949820884e-10 4.14274011815e-10 8.65351774437e+00 -3.58101055371e-02 3.66955157812e-12
3.10000000000e-01 3.05715894137e+01 4.19325992137e-11 2.35377162500e-04 2.19096947788e-10 2.09429858164e-10 4.14266002863e-10 8.65759787907e+00 -3.58140506130e-02 4.98127922173e-12
3.20000000000e-01 3.04695988707e+01 5.68977928355e-11 2.52703781275e-04 2.19146444101e-10 2.09906479100e-10 4.14256596363e-10 8.66651025096e+00 -3.58193887834e-02 6.75208153641e-12
3.30000000000e-01 3.03450030262e+01 7.71168798338e-11 2.72875698163e-04 2.19192563597e-10 2.10378243435e-10 4.14245649859e-10 8.67984056280e+00 -3.58265984974e-02 9.13743320376e-12
3.40000000000e-01 3.01979060572e+01 1.04379583595e-10 2.96398648990e-04 2.19235561625e-10 2.10843700095e-10 4.14233031520e-10 8.69740855125e+00 -3.58363152948e-02 1.23427576686e-11
3.50000000000e-01 3.00278415600e+01 1.41057031736e-10 3.23869127601e-04 2.19275673669e-10 2.11301411635e-10 4.14218629931e-10 8.71921394290e+00 -3.58493795559e-02 1.66381072760e-11
3.60000000000e-01 2.98339678391e+01 1.90276515396e-10 3.55986146573e-04 2.19313116765e-10 2.11749979732e-10 4.14202366962e-10 8.74539635286e+00 -3.58668967841e-02 2.23765024776e-11
3.70000000000e-01 2.96152437501e+01 2.56142148615e-10 3.93562826445e-04 2.19348090851e-10 2.12188070731e-10 4.14184214314e-10 8.77620521951e+00 -3.58903127100e-02 3.00165511858e-11
